horizon	split	method	metric	value
14	valid	torch_tail	interval_coverage	0.772430349
14	valid	torch_tail	interval_width	533.1249415
14	valid	torch_tail	pinball_q0.1	35.47858265
14	valid	torch_tail	pinball_q0.5	61.40023275
14	valid	torch_tail	pinball_q0.9	29.67182568
14	valid	torch_tail	pinball_q0.95	19.1292267
14	valid	torch_tail	pinball_q0.99	6.40102229
14	valid	torch_tail	tail_count	2073
14	valid	torch_tail	tail_mae	977.3784812
14	valid	torch_tail	tail_rmse	1427.584138
14	valid	torch_tail	tail_r2	0.530701008
14	valid	naive_last_conductance	observed_count	92563
14	valid	naive_last_conductance	mae	72.96158472
14	valid	naive_last_conductance	rmse	253.4061448
14	valid	naive_last_conductance	r2	0.907383607
14	valid	naive_last_conductance	auc	0.996453367
14	valid	naive_last_conductance	f1	0.815648446
14	valid	naive_last_conductance	precision	0.813468733
14	valid	naive_last_conductance	recall	0.817839871
14	valid	naive_last_conductance	interval_coverage	nan
14	valid	naive_last_conductance	interval_width	nan
14	valid	naive_last_conductance	pinball_q0.1	nan
14	valid	naive_last_conductance	pinball_q0.5	nan
14	valid	naive_last_conductance	pinball_q0.9	nan
14	valid	naive_last_conductance	pinball_q0.95	nan
14	valid	naive_last_conductance	pinball_q0.99	nan
14	valid	naive_last_conductance	tail_count	1861
14	valid	naive_last_conductance	tail_mae	860.6720397
14	valid	naive_last_conductance	tail_rmse	1315.96887
14	valid	naive_last_conductance	tail_r2	0.599312625
14	test	torch_tail	observed_count	178985
14	test	torch_tail	mae	132.3858299
14	test	torch_tail	rmse	300.2695605
14	test	torch_tail	r2	0.799014956
14	test	torch_tail	auc	0.99186111
14	test	torch_tail	f1	0.732021928
14	test	torch_tail	precision	0.629506378
14	test	torch_tail	recall	0.874422188
14	test	torch_tail	interval_coverage	0.768109059
14	test	torch_tail	interval_width	610.5450056
14	test	torch_tail	pinball_q0.1	26.67891339
14	test	torch_tail	pinball_q0.5	66.19291493
14	test	torch_tail	pinball_q0.9	35.26335114
14	test	torch_tail	pinball_q0.95	23.21503527
14	test	torch_tail	pinball_q0.99	8.269025576
14	test	torch_tail	tail_count	2596
14	test	torch_tail	tail_mae	1071.312651
14	test	torch_tail	tail_rmse	1617.97693
14	test	torch_tail	tail_r2	0.093818085
14	test	naive_last_conductance	observed_count	172810
14	test	naive_last_conductance	mae	90.15910441
14	test	naive_last_conductance	rmse	258.7502126
14	test	naive_last_conductance	r2	0.836695972
14	test	naive_last_conductance	auc	0.993688096
14	test	naive_last_conductance	f1	0.75075594
14	test	naive_last_conductance	precision	0.756968641
14	test	naive_last_conductance	recall	0.744644387
14	test	naive_last_conductance	interval_coverage	nan
14	test	naive_last_conductance	interval_width	nan
14	test	naive_last_conductance	pinball_q0.1	nan
14	test	naive_last_conductance	pinball_q0.5	nan
14	test	naive_last_conductance	pinball_q0.9	nan
14	test	naive_last_conductance	pinball_q0.95	nan
14	test	naive_last_conductance	pinball_q0.99	nan
14	test	naive_last_conductance	tail_count	2334
14	test	naive_last_conductance	tail_mae	977.0955441
14	test	naive_last_conductance	tail_rmse	1452.578886
14	test	naive_last_conductance	tail_r2	0.130041771
30	train	torch_tail	observed_count	566815
30	train	torch_tail	mae	162.4759212
30	train	torch_tail	rmse	381.0315758
30	train	torch_tail	r2	0.833911021
30	train	torch_tail	auc	0.985399226
30	train	torch_tail	f1	0.608115486
30	train	torch_tail	precision	0.440990149
30	train	torch_tail	recall	0.979216486
30	train	torch_tail	interval_coverage	0.913539691
30	train	torch_tail	interval_width	994.1900025
30	train	torch_tail	pinball_q0.1	38.11373438
30	train	torch_tail	pinball_q0.5	81.2379606
30	train	torch_tail	pinball_q0.9	42.32808719
30	train	torch_tail	pinball_q0.95	26.96005786
30	train	torch_tail	pinball_q0.99	9.280569138
30	train	torch_tail	tail_count	28436
30	train	torch_tail	tail_mae	554.4551532
30	train	torch_tail	tail_rmse	936.2500414
30	train	torch_tail	tail_r2	0.218507199
30	train	naive_last_conductance	observed_count	519113
30	train	naive_last_conductance	mae	143.0990513
30	train	naive_last_conductance	rmse	375.2501101
30	train	naive_last_conductance	r2	0.839240768
30	train	naive_last_conductance	auc	0.98412433
30	train	naive_last_conductance	f1	0.761615252
30	train	naive_last_conductance	precision	0.758002465
30	train	naive_last_conductance	recall	0.765262642
30	train	naive_last_conductance	interval_coverage	nan
30	train	naive_last_conductance	interval_width	nan
30	train	naive_last_conductance	pinball_q0.1	nan
30	train	naive_last_conductance	pinball_q0.5	nan
30	train	naive_last_conductance	pinball_q0.9	nan
30	train	naive_last_conductance	pinball_q0.95	nan
30	train	naive_last_conductance	pinball_q0.99	nan
30	train	naive_last_conductance	tail_count	26519
30	train	naive_last_conductance	tail_mae	617.5997712
30	train	naive_last_conductance	tail_rmse	1045.83065
30	train	naive_last_conductance	tail_r2	-0.045506456
30	valid	torch_tail	observed_count	96870
30	valid	torch_tail	mae	155.599367
30	valid	torch_tail	rmse	390.2993307
30	valid	torch_tail	r2	0.789279814
30	valid	torch_tail	auc	0.982878129
30	valid	torch_tail	f1	0.6625065
30	valid	torch_tail	precision	0.517045455
30	valid	torch_tail	recall	0.921852388
30	valid	torch_tail	interval_coverage	0.742520904
30	valid	torch_tail	interval_width	748.7635836
30	valid	torch_tail	pinball_q0.1	38.16907266
30	valid	torch_tail	pinball_q0.5	77.79968352
30	valid	torch_tail	pinball_q0.9	40.49812626
30	valid	torch_tail	pinball_q0.95	26.90995778
30	valid	torch_tail	pinball_q0.99	10.12221911
30	valid	torch_tail	tail_count	2073
30	valid	torch_tail	tail_mae	1281.545918
30	valid	torch_tail	tail_rmse	1832.96798
30	valid	torch_tail	tail_r2	0.226329655
30	valid	naive_last_conductance	observed_count	90514
30	valid	naive_last_conductance	mae	91.79429701
30	valid	naive_last_conductance	rmse	320.0141133
30	valid	naive_last_conductance	r2	0.852908705
30	valid	naive_last_conductance	auc	0.994700706
30	valid	naive_last_conductance	f1	0.773838967
30	valid	naive_last_conductance	precision	0.766884532
30	valid	naive_last_conductance	recall	0.780920688
30	valid	naive_last_conductance	interval_coverage	nan
30	valid	naive_last_conductance	interval_width	nan
30	valid	naive_last_conductance	pinball_q0.1	nan
30	valid	naive_last_conductance	pinball_q0.5	nan
30	valid	naive_last_conductance	pinball_q0.9	nan
30	valid	naive_last_conductance	pinball_q0.95	nan
30	valid	naive_last_conductance	pinball_q0.99	nan
30	valid	naive_last_conductance	tail_count	1803
30	valid	naive_last_conductance	tail_mae	1157.504714
30	valid	naive_last_conductance	tail_rmse	1738.38578
30	valid	naive_last_conductance	tail_r2	0.319503898
30	test	torch_tail	observed_count	178740
30	test	torch_tail	mae	163.5869162
30	test	torch_tail	rmse	359.8409061
30	test	torch_tail	r2	0.711514134
30	test	torch_tail	auc	0.977488541
30	test	torch_tail	f1	0.490535549
30	test	torch_tail	precision	0.350197759
30	test	torch_tail	recall	0.818567026
30	test	torch_tail	interval_coverage	0.770493454
30	test	torch_tail	interval_width	778.9655835
30	test	torch_tail	pinball_q0.1	31.38183635
30	test	torch_tail	pinball_q0.5	81.79345808
30	test	torch_tail	pinball_q0.9	45.5477152
30	test	torch_tail	pinball_q0.95	30.49756908
30	test	torch_tail	pinball_q0.99	11.83133998
30	test	torch_tail	tail_count	2596
30	test	torch_tail	tail_mae	1338.723658
30	test	torch_tail	tail_rmse	1895.88084
30	test	torch_tail	tail_r2	-0.245253693
30	test	naive_last_conductance	observed_count	170197
30	test	naive_last_conductance	mae	110.8936908
30	test	naive_last_conductance	rmse	304.5539733
30	test	naive_last_conductance	r2	0.77321944
30	test	naive_last_conductance	auc	0.988724965
30	test	naive_last_conductance	f1	0.665476456
30	test	naive_last_conductance	precision	0.676804358
30	test	naive_last_conductance	recall	0.65452151
30	test	naive_last_conductance	interval_coverage	nan
30	test	naive_last_conductance	interval_width	nan
30	test	naive_last_conductance	pinball_q0.1	nan
30	test	naive_last_conductance	pinball_q0.5	nan
30	test	naive_last_conductance	pinball_q0.9	nan
30	test	naive_last_conductance	pinball_q0.95	nan
30	test	naive_last_conductance	pinball_q0.99	nan
30	test	naive_last_conductance	tail_count	2278
30	test	naive_last_conductance	tail_mae	1234.477905
30	test	naive_last_conductance	tail_rmse	1709.01664
30	test	naive_last_conductance	tail_r2	-0.216212173
