horizon	split	method	metric	value
2	train	torch_tail	pinball_q0.1	16.51529368
2	train	torch_tail	pinball_q0.5	28.14899173
2	train	torch_tail	pinball_q0.9	16.03747443
2	train	torch_tail	pinball_q0.95	10.68243068
2	train	torch_tail	pinball_q0.99	3.852662366
2	train	torch_tail	tail_count	28540
2	train	torch_tail	tail_mae	209.6555374
2	train	torch_tail	tail_rmse	477.366009
2	train	torch_tail	tail_r2	0.795271382
2	train	naive_last_conductance	observed_count	560893
2	train	naive_last_conductance	mae	45.95416713
2	train	naive_last_conductance	rmse	151.0261735
2	train	naive_last_conductance	r2	0.973769998
2	train	naive_last_conductance	auc	0.997886694
2	train	naive_last_conductance	f1	0.934823091
2	train	naive_last_conductance	precision	0.934243176
2	train	naive_last_conductance	recall	0.935403727
2	train	naive_last_conductance	interval_coverage	nan
2	train	naive_last_conductance	interval_width	nan
2	train	naive_last_conductance	pinball_q0.1	nan
2	train	naive_last_conductance	pinball_q0.5	nan
2	train	naive_last_conductance	pinball_q0.9	nan
2	train	naive_last_conductance	pinball_q0.95	nan
2	train	naive_last_conductance	pinball_q0.99	nan
2	train	naive_last_conductance	tail_count	28175
2	train	naive_last_conductance	tail_mae	196.6567287
2	train	naive_last_conductance	tail_rmse	431.7166933
2	train	naive_last_conductance	tail_r2	0.826959572
2	valid	torch_tail	observed_count	97212
2	valid	torch_tail	mae	54.53525379
2	valid	torch_tail	rmse	153.7136191
2	valid	torch_tail	r2	0.967199621
2	valid	torch_tail	auc	0.999216674
2	valid	torch_tail	f1	0.81157123
2	valid	torch_tail	precision	0.688634835
2	valid	torch_tail	recall	0.987940183
2	valid	torch_tail	interval_coverage	0.800816772
2	valid	torch_tail	interval_width	316.5810711
2	valid	torch_tail	pinball_q0.1	16.02307727
2	valid	torch_tail	pinball_q0.5	27.2676269
2	valid	torch_tail	pinball_q0.9	12.46838087
2	valid	torch_tail	pinball_q0.95	8.077561318
2	valid	torch_tail	pinball_q0.99	2.959077814
2	valid	torch_tail	tail_count	2073
2	valid	torch_tail	tail_mae	357.9297674
2	valid	torch_tail	tail_rmse	722.1818549
2	valid	torch_tail	tail_r2	0.879901014
2	valid	naive_last_conductance	observed_count	95905
2	valid	naive_last_conductance	mae	32.18845732
2	valid	naive_last_conductance	rmse	121.6531126
2	valid	naive_last_conductance	r2	0.979119945
2	valid	naive_last_conductance	auc	0.999340173
2	valid	naive_last_conductance	f1	0.930255647
