model,split,auc,f1,interval_coverage,interval_width,mae,observed_count,pinball_q0.1,pinball_q0.5,pinball_q0.9,pinball_q0.95,pinball_q0.99,precision,r2,recall,rmse,tail_count,tail_mae,tail_r2,tail_rmse
torch_tail_no_target_history,test,0.8752969038051148,0.7193199636873814,0.6708237507840268,1316.3837043053552,385.37666413933664,191320,83.76974422329289,192.68833206966832,113.23196154913839,81.56342823476693,35.15726292922472,0.766713581984518,0.6439312143259357,0.6774444271723924,741.2827284563497,6433,2346.1925386072744,-0.5548392482539963,2744.3726953024307
torch_tail_no_target_history,test_station_early,0.7055584389274716,0.16832716576525286,0.6803351818483985,1339.1222860326739,453.139707169537,114326,77.4200220641222,226.5698535847685,182.2920675002776,142.96589321825968,75.48596094064936,0.23703901656867984,0.2634512046141818,0.13049874944828602,945.7156785802148,6797,2475.5236460988936,-2.8659380753197823,3211.644576795876
torch_tail_no_target_history,test_station_late,0.8752969038051148,0.7193199636873814,0.6708237507840268,1316.3837043053552,385.37666413933664,191320,83.76974422329289,192.68833206966832,113.23196154913839,81.56342823476693,35.15726292922472,0.766713581984518,0.6439312143259357,0.6774444271723924,741.2827284563497,6433,2346.1925386072744,-0.5548392482539963,2744.3726953024307
torch_tail_no_target_history,train,0.9728155933153205,0.6489138238187668,0.8737446628321395,1427.2492461024087,256.0580114633565,566780,49.496302815633236,128.02900573167824,66.08097368063095,42.574388784882224,13.964335174851788,0.5213072733098366,0.6759345504816745,0.8592402211034046,550.6743335515469,28403,686.9141996714261,0.16918024527746434,1104.9085451941712
torch_tail_no_target_history,train_station_early,0.9728155933153205,0.6489138238187668,0.8737446628321395,1427.2492461024087,256.0580114633565,566780,49.496302815633236,128.02900573167824,66.08097368063095,42.574388784882224,13.964335174851788,0.5213072733098366,0.6759345504816745,0.8592402211034046,550.6743335515469,28403,686.9141996714261,0.16918024527746434,1104.9085451941712
torch_tail_no_target_history,train_station_late,0.9581759123948901,0.5702365810226405,0.6802592908454905,1163.4510654975625,290.90438736034497,772723,62.12456916408197,145.45219368017248,83.69407781442321,59.65901517211348,26.596433051270253,0.5484976020358227,0.5687772100550836,0.5937698664971393,541.1157096093923,18876,1236.7475996031603,-0.07413020736251563,1659.9938101316095
torch_tail_no_target_history,valid,0.9665321416267633,0.6042139384116694,0.6652058572613914,1627.3214751571215,396.693276024685,85569,87.18418173325675,198.3466380123425,86.62550783280277,56.587367500006344,20.30034767926088,0.5541846291065854,0.6809182682587901,0.6641724567967219,659.3772867784938,5613,1012.471318157773,-0.289991973167959,1254.2233295249687
seq_tcn_tail,test,0.8868284678059896,0.3466811569971577,0.7276067428132901,1456.5664579240035,422.1335288550441,190247,75.10386164382706,211.06676442752206,131.4042202525484,95.2924212913616,47.488176737972445,0.23591989987484355,0.5442680661949547,0.6534825086668767,833.7865545964875,6346,2851.395115416846,-1.415204478837496,3422.070846920812
seq_tcn_tail,test_station_early,0.8902072012224708,0.20208997520368402,0.7851186828995391,1290.493119272513,450.31244535274504,112611,79.5598509209894,225.15622267637252,197.11902247459545,165.60089016294364,101.13922564577659,0.24836743578580758,0.17071315173235713,0.1703493580173186,998.4091682840445,6698,2846.3729782309524,-3.7793743478837136,3517.4470982694884
seq_tcn_tail,test_station_late,0.8868284678059896,0.3466811569971577,0.7276067428132901,1456.5664579240035,422.1335288550441,190247,75.10386164382706,211.06676442752206,131.4042202525484,95.2924212913616,47.488176737972445,0.23591989987484355,0.5442680661949547,0.6534825086668767,833.7865545964875,6346,2851.395115416846,-1.415204478837496,3422.070846920812
seq_tcn_tail,train,0.9859035663653568,0.693581404990801,0.907760325770797,1222.4166745346704,221.67506312457317,558675,44.91348156392921,110.83753156228659,54.04799771348476,34.10891506063117,11.205106503028995,0.543560375289387,0.7559677790348553,0.9579813886900501,476.92753519712977,27940,669.5266045781998,0.25135398683061017,1045.6078226730074
seq_tcn_tail,train_station_early,0.9859035663653568,0.693581404990801,0.907760325770797,1222.4166745346704,221.67506312457317,558675,44.91348156392921,110.83753156228659,54.04799771348476,34.10891506063117,11.205106503028995,0.543560375289387,0.7559677790348553,0.9579813886900501,476.92753519712977,27940,669.5266045781998,0.25135398683061017,1045.6078226730074
seq_tcn_tail,train_station_late,0.903879401014926,0.4943860682837409,0.733368977278936,1131.3603725669916,285.8178625471552,768714,52.83761808604091,142.9089312735776,89.61829313211199,63.10886730318622,25.19200395783518,0.3573828679602461,0.5924594544428234,0.8017305446438051,526.3324139613176,18838,1517.1014769125143,-0.5605270422103121,1996.9253814717722
